longitude,latitude
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-93.38,39.43
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-73.99,40.75
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-90.23,29.97
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-93.63,41.59
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-80.14,26.03
-117.29,34.4
-117.29,34.4
-117.29,34.4
-117.29,34.4
-117.29,34.4
-117.29,34.4
-117.29,34.4
-117.29,34.4
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-96.8,32.78
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-83.13,39.15
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-92.22,32.69
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-71.11,42.32
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-74.53,42.16
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-71.05,42.34
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-81.31,28.91
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-120.25,47.4
-98.51,32.5
-98.51,32.5
-98.51,32.5
-98.51,32.5
-84.26,30.43
-84.26,30.43
-84.26,30.43
-84.26,30.43
-84.26,30.43
-84.26,30.43
-84.26,30.43
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
-97.12,36.13
